VALOR;VIGENCIADESDE;VIGENCIAHASTA
1,832.45;03/08/2010;03/08/2010
1,834.58;04/08/2010;04/08/2010
1,824.52;05/08/2010;05/08/2010
1,818.50;06/08/2010;06/08/2010
1,815.46;07/08/2010;09/08/2010
1,808.93;10/08/2010;10/08/2010
1,810.12;11/08/2010;11/08/2010
1,807.55;12/08/2010;12/08/2010
1,812.20;13/08/2010;13/08/2010
1,835.32;14/08/2010;17/08/2010
1,810.75;18/08/2010;18/08/2010
1,808.14;19/08/2010;19/08/2010
1,819.13;20/08/2010;20/08/2010
1,820.93;21/08/2010;23/08/2010
1,806.93;24/08/2010;24/08/2010
1,818.86;25/08/2010;25/08/2010
1,820.29;26/08/2010;26/08/2010
1,811.46;27/08/2010;27/08/2010
1,817.68;28/08/2010;30/08/2010
1,823.74;31/08/2010;31/08/2010
1,826.31;01/09/2010;01/09/2010
1,815.09;02/09/2010;02/09/2010
1,810.65;03/09/2010;03/09/2010
1,807.73;04/09/2010;07/09/2010
1,808.65;08/09/2010;08/09/2010
1,803.00;09/09/2010;09/09/2010
1,802.54;10/09/2010;10/09/2010
1,801.04;11/09/2010;13/09/2010
1,793.28;14/09/2010;14/09/2010
1,788.05;15/09/2010;15/09/2010
1,806.78;16/09/2010;16/09/2010
1,811.55;17/09/2010;17/09/2010
1,806.76;18/09/2010;20/09/2010
1,798.73;21/09/2010;21/09/2010
1,805.31;22/09/2010;22/09/2010
1,803.71;23/09/2010;23/09/2010
1,810.72;24/09/2010;24/09/2010
1,809.46;25/09/2010;27/09/2010
1,802.15;28/09/2010;28/09/2010
1,804.06;29/09/2010;29/09/2010
1,799.89;30/09/2010;30/09/2010
1,801.01;01/10/2010;01/10/2010
1,795.93;02/10/2010;04/10/2010
1,802.09;05/10/2010;05/10/2010
1,802.43;06/10/2010;06/10/2010
1,796.29;07/10/2010;07/10/2010
1,786.20;08/10/2010;08/10/2010
1,786.37;09/10/2010;12/10/2010
3,190.94;29/03/2019;29/03/2019
3,285.14;15/05/2019;15/05/2019
3,378.29;15/02/2020;18/02/2020
3,588.89;04/06/2020;04/06/2020
2,956.82;12/05/2016;12/05/2016
2,934.88;13/05/2016;13/05/2016
2,983.82;14/05/2016;16/05/2016
3,007.74;17/05/2016;17/05/2016
3,020.89;18/05/2016;18/05/2016
3,031.48;19/05/2016;19/05/2016
3,056.06;20/05/2016;20/05/2016
3,047.99;21/05/2016;23/05/2016
3,058.25;24/05/2016;24/05/2016
3,059.92;25/05/2016;25/05/2016
3,061.89;26/05/2016;26/05/2016
3,054.60;27/05/2016;27/05/2016
3,069.17;28/05/2016;31/05/2016
3,089.65;01/06/2016;01/06/2016
3,117.83;02/06/2016;02/06/2016
3,110.88;03/06/2016;03/06/2016
3,017.71;04/06/2016;07/06/2016
2,950.95;08/06/2016;08/06/2016
2,905.23;09/06/2016;09/06/2016
2,942.13;10/06/2016;10/06/2016
2,969.83;11/06/2016;13/06/2016
2,990.35;14/06/2016;14/06/2016
3,003.28;15/06/2016;15/06/2016
2,989.56;16/06/2016;16/06/2016
3,019.12;17/06/2016;17/06/2016
3,010.91;18/06/2016;20/06/2016
2,972.97;21/06/2016;21/06/2016
2,976.29;22/06/2016;22/06/2016
2,944.06;23/06/2016;23/06/2016
2,897.53;24/06/2016;24/06/2016
2,972.92;25/06/2016;27/06/2016
2,044.58;15/03/2014;17/03/2014
2,035.16;18/03/2014;18/03/2014
2,034.86;19/03/2014;19/03/2014
2,017.38;20/03/2014;20/03/2014
1,998.60;21/03/2014;21/03/2014
1,993.85;22/03/2014;25/03/2014
1,978.63;26/03/2014;26/03/2014
1,973.03;27/03/2014;27/03/2014
1,965.64;28/03/2014;28/03/2014
1,965.32;29/03/2014;31/03/2014
1,969.45;01/04/2014;01/04/2014
1,966.02;02/04/2014;02/04/2014
1,963.51;03/04/2014;03/04/2014
1,966.40;04/04/2014;04/04/2014
1,951.85;05/04/2014;07/04/2014
1,937.59;08/04/2014;08/04/2014
1,923.95;09/04/2014;09/04/2014
1,931.09;10/04/2014;10/04/2014
1,920.93;11/04/2014;11/04/2014
1,927.28;12/04/2014;14/04/2014
1,926.47;15/04/2014;15/04/2014
1,932.42;16/04/2014;16/04/2014
1,930.62;17/04/2014;21/04/2014
1,921.75;22/04/2014;22/04/2014
1,929.66;23/04/2014;23/04/2014
1,936.63;24/04/2014;24/04/2014
1,936.07;25/04/2014;25/04/2014
1,942.37;26/04/2014;28/04/2014
1,936.13;29/04/2014;29/04/2014
1,935.14;30/04/2014;30/04/2014
1,933.46;01/05/2014;02/05/2014
1,926.30;03/05/2014;05/05/2014
1,923.07;06/05/2014;06/05/2014
1,918.20;07/05/2014;07/05/2014
1,912.97;08/05/2014;08/05/2014
1,902.15;09/05/2014;09/05/2014
1,901.51;10/05/2014;12/05/2014
1,904.85;13/05/2014;13/05/2014
1,919.70;14/05/2014;14/05/2014
1,925.31;15/05/2014;15/05/2014
1,927.80;16/05/2014;16/05/2014
1,925.41;17/05/2014;19/05/2014
1,921.16;20/05/2014;20/05/2014
1,920.41;21/05/2014;21/05/2014
1,911.33;22/05/2014;22/05/2014
1,905.80;23/05/2014;23/05/2014
1,905.53;24/05/2014;27/05/2014
1,917.34;28/05/2014;28/05/2014
1,910.80;29/05/2014;29/05/2014
1,905.96;30/05/2014;30/05/2014
1,900.64;31/05/2014;03/06/2014
1,899.74;04/06/2014;04/06/2014
1,897.70;05/06/2014;05/06/2014
1,892.08;06/06/2014;06/06/2014
1,886.09;07/06/2014;09/06/2014
1,883.76;10/06/2014;10/06/2014
1,884.97;11/06/2014;11/06/2014
1,884.63;12/06/2014;12/06/2014
1,877.18;13/06/2014;13/06/2014
1,877.37;14/06/2014;16/06/2014
1,886.62;17/06/2014;17/06/2014
1,899.90;18/06/2014;18/06/2014
1,895.92;19/06/2014;19/06/2014
1,881.34;20/06/2014;20/06/2014
1,884.56;21/06/2014;24/06/2014
1,886.85;25/06/2014;25/06/2014
1,880.37;26/06/2014;26/06/2014
1,886.01;27/06/2014;27/06/2014
1,881.19;28/06/2014;01/07/2014
1,865.42;02/07/2014;02/07/2014
1,856.73;03/07/2014;03/07/2014
1,848.91;04/07/2014;07/07/2014
1,849.28;08/07/2014;08/07/2014
1,854.24;09/07/2014;09/07/2014
1,859.94;10/07/2014;10/07/2014
1,858.47;11/07/2014;11/07/2014
1,852.57;12/07/2014;14/07/2014
1,857.93;15/07/2014;15/07/2014
1,867.88;16/07/2014;16/07/2014
1,868.41;17/07/2014;17/07/2014
1,872.27;18/07/2014;18/07/2014
1,871.87;19/07/2014;21/07/2014
1,861.28;22/07/2014;22/07/2014
1,848.98;23/07/2014;23/07/2014
1,847.85;24/07/2014;24/07/2014
1,846.12;25/07/2014;25/07/2014
1,848.56;26/07/2014;28/07/2014
1,850.61;29/07/2014;29/07/2014
1,853.30;30/07/2014;30/07/2014
1,872.43;31/07/2014;31/07/2014
1,878.75;01/08/2014;01/08/2014
1,873.65;02/08/2014;04/08/2014
1,878.68;05/08/2014;05/08/2014
1,892.35;06/08/2014;06/08/2014
1,888.51;07/08/2014;08/08/2014
1,891.59;09/08/2014;11/08/2014
1,881.62;12/08/2014;12/08/2014
1,877.40;13/08/2014;13/08/2014
1,883.33;14/08/2014;14/08/2014
1,877.77;15/08/2014;15/08/2014
1,884.81;16/08/2014;19/08/2014
1,894.27;20/08/2014;20/08/2014
1,912.43;21/08/2014;21/08/2014
1,919.84;22/08/2014;22/08/2014
1,924.40;23/08/2014;25/08/2014
1,932.39;26/08/2014;26/08/2014
1,928.67;27/08/2014;27/08/2014
1,926.92;28/08/2014;28/08/2014
1,935.04;29/08/2014;29/08/2014
1,918.62;30/08/2014;02/09/2014
1,931.49;03/09/2014;03/09/2014
1,924.67;04/09/2014;04/09/2014
1,931.45;05/09/2014;05/09/2014
1,935.25;06/09/2014;08/09/2014
1,942.03;09/09/2014;09/09/2014
1,962.84;10/09/2014;10/09/2014
1,975.82;11/09/2014;11/09/2014
1,979.97;12/09/2014;12/09/2014
1,994.97;13/09/2014;15/09/2014
1,987.71;16/09/2014;16/09/2014
1,978.08;17/09/2014;17/09/2014
1,975.47;18/09/2014;18/09/2014
1,975.42;19/09/2014;19/09/2014
1,966.89;20/09/2014;22/09/2014
1,992.68;23/09/2014;23/09/2014
1,997.91;24/09/2014;24/09/2014
2,007.48;25/09/2014;25/09/2014
2,019.76;26/09/2014;26/09/2014
2,023.89;27/09/2014;29/09/2014
2,028.48;30/09/2014;30/09/2014
2,022.00;01/10/2014;01/10/2014
2,025.75;02/10/2014;02/10/2014
2,021.49;03/10/2014;03/10/2014
2,026.20;04/10/2014;06/10/2014
2,028.03;07/10/2014;07/10/2014
2,026.90;08/10/2014;08/10/2014
2,040.31;09/10/2014;09/10/2014
2,041.71;10/10/2014;10/10/2014
2,052.96;11/10/2014;14/10/2014
2,049.66;15/10/2014;15/10/2014
2,057.70;16/10/2014;16/10/2014
2,074.40;17/10/2014;17/10/2014
2,064.43;18/10/2014;20/10/2014
2,065.82;21/10/2014;21/10/2014
2,048.44;22/10/2014;22/10/2014
2,049.90;23/10/2014;23/10/2014
2,053.39;24/10/2014;24/10/2014
2,065.38;25/10/2014;27/10/2014
2,069.72;28/10/2014;28/10/2014
833.35;16/06/1994;16/06/1994
643.42;02/12/1991;02/12/1991
639.22;03/12/1991;03/12/1991
635.70;04/12/1991;04/12/1991
2,905.12;03/10/2003;03/10/2003
2,881.88;04/10/2003;06/10/2003
2,872.70;07/10/2003;07/10/2003
2,951.14;04/04/2003;04/04/2003
2,946.79;05/04/2003;07/04/2003
2,942.41;08/04/2003;08/04/2003
2,938.32;09/04/2003;09/04/2003
2,920.40;10/04/2003;10/04/2003
