VALOR;VIGENCIADESDE;VIGENCIAHASTA
638.61;02/01/1992;02/01/1992
2,280.43;16/11/2005;16/11/2005
2,340.99;12/05/2005;12/05/2005
2,344.00;13/05/2005;13/05/2005
2,348.69;14/05/2005;16/05/2005
2,347.25;17/05/2005;17/05/2005
2,282.01;15/03/2001;15/03/2001
2,281.02;16/03/2001;16/03/2001
2,282.96;17/03/2001;20/03/2001
2,282.17;21/03/2001;21/03/2001
2,284.04;22/03/2001;22/03/2001
2,290.02;23/03/2001;23/03/2001
2,295.74;24/03/2001;26/03/2001
2,293.99;27/03/2001;27/03/2001
2,299.68;28/03/2001;28/03/2001
2,303.86;29/03/2001;29/03/2001
2,309.83;30/03/2001;30/03/2001
2,310.57;31/03/2001;02/04/2001
2,304.19;03/04/2001;03/04/2001
2,289.42;03/01/2002;03/01/2002
2,289.91;04/01/2002;04/01/2002
2,295.59;05/01/2002;08/01/2002
2,306.31;09/01/2002;09/01/2002
2,306.35;10/01/2002;10/01/2002
2,311.57;11/01/2002;11/01/2002
2,304.54;12/01/2002;14/01/2002
2,297.31;15/01/2002;15/01/2002
2,280.73;16/01/2002;16/01/2002
2,265.66;17/01/2002;17/01/2002
2,265.01;18/01/2002;18/01/2002
2,269.76;19/01/2002;21/01/2002
2,259.24;22/01/2002;22/01/2002
2,247.29;23/01/2002;23/01/2002
2,239.92;24/01/2002;24/01/2002
2,231.98;25/01/2002;25/01/2002
2,242.67;26/01/2002;28/01/2002
2,252.37;29/01/2002;29/01/2002
2,262.45;30/01/2002;30/01/2002
2,264.82;31/01/2002;31/01/2002
2,265.99;01/02/2002;01/02/2002
2,151.56;19/07/2000;19/07/2000
2,883.87;16/05/2017;16/05/2017
2,873.22;17/05/2017;17/05/2017
2,893.40;18/05/2017;18/05/2017
2,932.16;19/05/2017;19/05/2017
2,889.45;20/05/2017;22/05/2017
2,895.12;23/05/2017;23/05/2017
2,904.61;24/05/2017;24/05/2017
2,905.29;25/05/2017;25/05/2017
2,911.66;26/05/2017;26/05/2017
2,913.47;27/05/2017;30/05/2017
2,920.42;31/05/2017;31/05/2017
2,921.00;01/06/2017;01/06/2017
2,895.73;02/06/2017;02/06/2017
2,894.72;03/06/2017;05/06/2017
2,895.85;06/06/2017;06/06/2017
2,893.76;07/06/2017;07/06/2017
2,907.10;08/06/2017;08/06/2017
2,919.82;09/06/2017;09/06/2017
2,919.58;10/06/2017;12/06/2017
2,929.20;13/06/2017;13/06/2017
2,933.13;14/06/2017;14/06/2017
2,924.75;15/06/2017;15/06/2017
2,953.83;16/06/2017;16/06/2017
2,961.68;17/06/2017;20/06/2017
3,029.53;21/06/2017;21/06/2017
3,053.90;22/06/2017;22/06/2017
3,035.83;23/06/2017;23/06/2017
3,010.68;24/06/2017;27/06/2017
3,025.28;28/06/2017;28/06/2017
3,023.64;29/06/2017;29/06/2017
3,038.26;30/06/2017;30/06/2017
3,050.43;01/07/2017;05/07/2017
3,068.93;06/07/2017;06/07/2017
3,084.19;07/07/2017;07/07/2017
3,092.65;08/07/2017;10/07/2017
3,067.33;11/07/2017;11/07/2017
3,067.73;12/07/2017;12/07/2017
3,052.30;13/07/2017;13/07/2017
3,043.60;14/07/2017;14/07/2017
3,019.56;15/07/2017;17/07/2017
3,030.60;18/07/2017;18/07/2017
3,013.26;19/07/2017;19/07/2017
3,010.00;20/07/2017;21/07/2017
3,010.77;22/07/2017;24/07/2017
3,023.67;25/07/2017;25/07/2017
3,026.55;26/07/2017;26/07/2017
3,026.22;27/07/2017;27/07/2017
3,002.94;28/07/2017;28/07/2017
2,995.23;29/07/2017;31/07/2017
2,997.59;01/08/2017;01/08/2017
2,973.03;02/08/2017;02/08/2017
2,964.66;03/08/2017;03/08/2017
2,954.54;04/08/2017;04/08/2017
2,974.39;05/08/2017;08/08/2017
2,994.62;09/08/2017;09/08/2017
3,011.14;10/08/2017;10/08/2017
2,994.85;11/08/2017;11/08/2017
2,984.99;12/08/2017;14/08/2017
2,966.54;15/08/2017;15/08/2017
2,974.70;16/08/2017;16/08/2017
2,967.32;17/08/2017;17/08/2017
2,980.03;18/08/2017;18/08/2017
2,994.39;19/08/2017;22/08/2017
2,986.83;23/08/2017;23/08/2017
2,986.88;24/08/2017;24/08/2017
2,972.98;25/08/2017;25/08/2017
2,933.96;26/08/2017;28/08/2017
2,934.23;29/08/2017;29/08/2017
2,940.35;30/08/2017;30/08/2017
2,937.09;31/08/2017;31/08/2017
2,948.09;01/09/2017;01/09/2017
2,936.07;02/09/2017;05/09/2017
2,923.49;06/09/2017;06/09/2017
2,919.50;07/09/2017;07/09/2017
2,907.96;08/09/2017;08/09/2017
2,909.15;09/09/2017;11/09/2017
2,916.10;12/09/2017;12/09/2017
2,923.03;13/09/2017;13/09/2017
2,909.52;14/09/2017;14/09/2017
2,905.98;15/09/2017;15/09/2017
2,897.83;16/09/2017;18/09/2017
2,906.06;19/09/2017;19/09/2017
2,904.60;20/09/2017;20/09/2017
2,893.18;21/09/2017;21/09/2017
2,913.96;22/09/2017;22/09/2017
2,900.73;23/09/2017;25/09/2017
2,924.57;26/09/2017;26/09/2017
2,930.70;27/09/2017;27/09/2017
2,940.66;28/09/2017;28/09/2017
2,941.07;29/09/2017;29/09/2017
2,936.67;30/09/2017;02/10/2017
2,949.33;03/10/2017;03/10/2017
2,953.81;04/10/2017;04/10/2017
2,945.59;05/10/2017;05/10/2017
2,926.82;06/10/2017;06/10/2017
2,942.19;07/10/2017;10/10/2017
2,947.06;11/10/2017;11/10/2017
2,953.77;12/10/2017;12/10/2017
2,949.69;13/10/2017;13/10/2017
2,932.05;14/10/2017;17/10/2017
2,944.27;18/10/2017;18/10/2017
2,935.66;19/10/2017;19/10/2017
2,921.92;20/10/2017;20/10/2017
2,936.66;21/10/2017;23/10/2017
2,947.69;24/10/2017;24/10/2017
2,971.36;25/10/2017;25/10/2017
2,989.39;26/10/2017;26/10/2017
3,008.80;27/10/2017;27/10/2017
3,009.85;28/10/2017;30/10/2017
3,011.44;31/10/2017;31/10/2017
3,039.19;01/11/2017;01/11/2017
3,038.56;02/11/2017;02/11/2017
3,054.38;03/11/2017;03/11/2017
3,055.57;04/11/2017;07/11/2017
3,026.94;08/11/2017;08/11/2017
3,017.78;09/11/2017;09/11/2017
3,015.52;10/11/2017;10/11/2017
3,004.88;11/11/2017;14/11/2017
3,016.70;15/11/2017;15/11/2017
3,023.88;16/11/2017;16/11/2017
3,015.79;17/11/2017;17/11/2017
3,003.19;18/11/2017;20/11/2017
3,011.32;21/11/2017;21/11/2017
3,001.07;22/11/2017;22/11/2017
2,982.73;23/11/2017;24/11/2017
2,976.39;25/11/2017;27/11/2017
2,986.84;28/11/2017;28/11/2017
3,003.94;29/11/2017;29/11/2017
3,006.09;30/11/2017;30/11/2017
3,006.04;01/12/2017;01/12/2017
3,005.76;02/12/2017;04/12/2017
2,993.49;05/12/2017;05/12/2017
2,996.53;06/12/2017;06/12/2017
3,007.07;07/12/2017;07/12/2017
3,016.18;08/12/2017;11/12/2017
3,013.99;12/12/2017;12/12/2017
3,029.75;13/12/2017;13/12/2017
3,015.41;14/12/2017;14/12/2017
2,999.07;15/12/2017;15/12/2017
2,996.61;16/12/2017;18/12/2017
2,975.59;19/12/2017;19/12/2017
2,972.05;20/12/2017;20/12/2017
2,965.77;21/12/2017;21/12/2017
2,963.58;22/12/2017;22/12/2017
2,962.14;23/12/2017;26/12/2017
2,962.26;27/12/2017;27/12/2017
2,971.63;28/12/2017;28/12/2017
780.49;13/05/1993;13/05/1993
780.80;14/05/1993;14/05/1993
780.79;15/05/1993;17/05/1993
781.42;18/05/1993;18/05/1993
781.80;19/05/1993;19/05/1993
781.84;20/05/1993;20/05/1993
781.94;21/05/1993;21/05/1993
782.00;22/05/1993;25/05/1993
783.15;26/05/1993;26/05/1993
782.85;27/05/1993;27/05/1993
773.78;29/04/1993;29/04/1993
780.78;28/05/1993;28/05/1993
779.56;29/05/1993;31/05/1993
779.00;01/06/1993;01/06/1993
779.01;02/06/1993;02/06/1993
777.82;03/06/1993;03/06/1993
778.12;04/06/1993;04/06/1993
780.60;05/06/1993;07/06/1993
782.29;08/06/1993;08/06/1993
784.62;09/06/1993;09/06/1993
784.95;10/06/1993;10/06/1993
831.28;17/06/1994;17/06/1994
1,007.57;30/10/1996;30/10/1996
1,005.83;31/10/1996;31/10/1996
1,000.14;01/11/1996;01/11/1996
999.49;02/11/1996;05/11/1996
1,006.36;06/11/1996;06/11/1996
1,003.75;07/11/1996;07/11/1996
999.59;08/11/1996;08/11/1996
1,001.24;09/11/1996;12/11/1996
1,000.22;13/11/1996;13/11/1996
997.38;14/11/1996;14/11/1996
1,001.68;15/11/1996;15/11/1996
999.68;16/11/1996;18/11/1996
995.96;19/11/1996;19/11/1996
994.02;20/11/1996;20/11/1996
995.20;21/11/1996;21/11/1996
1,012.43;29/10/1996;29/10/1996
994.37;22/11/1996;22/11/1996
995.34;23/11/1996;25/11/1996
995.05;26/11/1996;26/11/1996
995.05;27/11/1996;27/11/1996
995.93;28/11/1996;28/11/1996
994.94;29/11/1996;29/11/1996
1,002.28;30/11/1996;02/12/1996
1,000.09;03/12/1996;03/12/1996
995.73;04/12/1996;04/12/1996
828.94;21/06/1994;21/06/1994
826.90;22/06/1994;22/06/1994
824.76;23/06/1994;23/06/1994
822.87;24/06/1994;24/06/1994
821.00;25/06/1994;27/06/1994
820.13;28/06/1994;28/06/1994
818.73;29/06/1994;29/06/1994
819.64;30/06/1994;30/06/1994
818.05;01/07/1994;01/07/1994
817.92;02/07/1994;05/07/1994
818.45;06/07/1994;06/07/1994
820.42;07/07/1994;07/07/1994
820.24;08/07/1994;08/07/1994
822.34;09/07/1994;11/07/1994
822.14;12/07/1994;12/07/1994
826.61;18/06/1994;20/06/1994
823.12;13/07/1994;13/07/1994
822.79;14/07/1994;14/07/1994
822.28;15/07/1994;15/07/1994
821.04;16/07/1994;18/07/1994
818.44;19/07/1994;19/07/1994
817.49;20/07/1994;21/07/1994
817.18;22/07/1994;22/07/1994
816.68;23/07/1994;25/07/1994
816.34;26/07/1994;26/07/1994
997.48;06/12/1996;06/12/1996
1,001.82;07/12/1996;09/12/1996
997.99;10/12/1996;10/12/1996
1,084.28;20/06/1997;20/06/1997
1,086.36;21/06/1997;23/06/1997
1,088.16;24/06/1997;24/06/1997
1,086.47;25/06/1997;25/06/1997
1,087.72;26/06/1997;26/06/1997
1,090.58;27/06/1997;27/06/1997
1,089.01;28/06/1997;01/07/1997
1,093.25;02/07/1997;02/07/1997
1,098.72;03/07/1997;03/07/1997
1,102.84;04/07/1997;04/07/1997
1,101.57;05/07/1997;07/07/1997
1,102.45;08/07/1997;08/07/1997
1,101.18;09/07/1997;09/07/1997
997.40;05/12/1996;05/12/1996
1,098.64;10/07/1997;10/07/1997
1,097.88;11/07/1997;11/07/1997
1,098.46;12/07/1997;14/07/1997
1,099.56;15/07/1997;15/07/1997
1,099.25;16/07/1997;16/07/1997
1,100.83;17/07/1997;17/07/1997
1,102.48;18/07/1997;18/07/1997
1,105.33;19/07/1997;21/07/1997
1,109.46;22/07/1997;22/07/1997
1,110.32;23/07/1997;23/07/1997
815.80;28/07/1994;28/07/1994
815.62;29/07/1994;29/07/1994
815.62;30/07/1994;01/08/1994
815.89;02/08/1994;02/08/1994
814.53;03/08/1994;03/08/1994
812.69;04/08/1994;04/08/1994
812.57;05/08/1994;05/08/1994
811.91;06/08/1994;08/08/1994
812.39;09/08/1994;09/08/1994
813.64;10/08/1994;10/08/1994
815.40;11/08/1994;11/08/1994
815.84;12/08/1994;12/08/1994
814.94;13/08/1994;16/08/1994
814.40;17/08/1994;17/08/1994
813.93;18/08/1994;18/08/1994
813.88;19/08/1994;19/08/1994
813.76;20/08/1994;22/08/1994
815.75;27/07/1994;27/07/1994
815.20;23/08/1994;23/08/1994
816.58;24/08/1994;24/08/1994
816.77;25/08/1994;25/08/1994
817.40;26/08/1994;26/08/1994
816.29;27/08/1994;29/08/1994
816.18;30/08/1994;30/08/1994
816.30;31/08/1994;31/08/1994
816.08;01/09/1994;01/09/1994
817.64;02/09/1994;02/09/1994
818.81;03/09/1994;05/09/1994
818.06;29/10/1993;29/10/1993
817.03;30/10/1993;02/11/1993
816.70;03/11/1993;03/11/1993
817.01;04/11/1993;04/11/1993
816.79;05/11/1993;05/11/1993
815.70;06/11/1993;08/11/1993
814.26;09/11/1993;09/11/1993
696.12;07/07/1992;07/07/1992
695.65;08/07/1992;08/07/1992
699.01;09/07/1992;09/07/1992
703.74;10/07/1992;10/07/1992
708.72;11/07/1992;13/07/1992
720.47;14/07/1992;14/07/1992
719.15;15/07/1992;15/07/1992
717.45;16/07/1992;16/07/1992
717.70;17/07/1992;17/07/1992
715.11;18/07/1992;21/07/1992
710.91;22/07/1992;22/07/1992
707.96;23/07/1992;23/07/1992
699.73;24/07/1992;24/07/1992
699.68;25/07/1992;27/07/1992
701.66;28/07/1992;28/07/1992
701.89;29/07/1992;29/07/1992
702.02;30/07/1992;30/07/1992
693.40;04/07/1992;06/07/1992
705.14;31/07/1992;31/07/1992
702.52;01/08/1992;03/08/1992
701.82;04/08/1992;04/08/1992
698.84;05/08/1992;05/08/1992
695.32;06/08/1992;06/08/1992
694.25;07/08/1992;10/08/1992
692.72;11/08/1992;11/08/1992
692.25;12/08/1992;12/08/1992
694.28;13/08/1992;13/08/1992
692.51;14/08/1992;14/08/1992
1,106.70;24/07/1997;24/07/1997
1,106.64;25/07/1997;25/07/1997
1,106.06;26/07/1997;28/07/1997
1,108.16;29/07/1997;29/07/1997
1,106.67;30/07/1997;30/07/1997
1,109.65;31/07/1997;31/07/1997
1,112.53;01/08/1997;01/08/1997
1,113.43;02/08/1997;04/08/1997
1,112.83;05/08/1997;05/08/1997
1,115.43;06/08/1997;06/08/1997
1,115.20;07/08/1997;08/08/1997
1,118.96;09/08/1997;11/08/1997
1,119.38;12/08/1997;12/08/1997
1,120.33;13/08/1997;13/08/1997
1,125.62;14/08/1997;14/08/1997
1,128.25;15/08/1997;15/08/1997
1,129.05;16/08/1997;19/08/1997
1,137.54;20/08/1997;20/08/1997
1,140.54;21/08/1997;21/08/1997
1,149.19;22/08/1997;22/08/1997
1,154.23;23/08/1997;25/08/1997
1,145.52;26/08/1997;26/08/1997
811.07;11/11/1993;11/11/1993
809.87;12/11/1993;12/11/1993
3,299.01;14/05/2019;14/05/2019
3,329.23;02/08/2019;02/08/2019
3,402.32;21/09/2019;23/09/2019
3,278.83;15/01/2020;15/01/2020
2,341.72;18/05/2005;18/05/2005
2,339.44;19/05/2005;19/05/2005
2,336.99;20/05/2005;20/05/2005
2,337.00;21/05/2005;23/05/2005
2,329.05;24/05/2005;24/05/2005
2,328.69;25/05/2005;25/05/2005
2,329.35;26/05/2005;26/05/2005
2,330.79;27/05/2005;27/05/2005
2,332.79;28/05/2005;31/05/2005
2,338.89;01/06/2005;01/06/2005
2,339.67;02/06/2005;02/06/2005
2,336.65;03/06/2005;03/06/2005
2,330.93;04/06/2005;07/06/2005
2,331.38;08/06/2005;08/06/2005
2,347.83;09/06/2005;09/06/2005
2,361.41;10/06/2005;10/06/2005
2,349.17;11/06/2005;13/06/2005
2,345.60;14/06/2005;14/06/2005
2,334.27;15/06/2005;15/06/2005
2,330.33;16/06/2005;16/06/2005
2,326.43;17/06/2005;17/06/2005
2,322.05;18/06/2005;20/06/2005
2,319.11;21/06/2005;21/06/2005
2,314.89;22/06/2005;22/06/2005
2,316.45;23/06/2005;23/06/2005
2,319.27;24/06/2005;24/06/2005
2,320.29;25/06/2005;27/06/2005
2,323.19;28/06/2005;28/06/2005
2,327.90;29/06/2005;29/06/2005
2,331.81;30/06/2005;30/06/2005
2,324.22;01/07/2005;01/07/2005
2,324.69;02/07/2005;05/07/2005
2,338.17;06/07/2005;06/07/2005
2,338.86;07/07/2005;07/07/2005
2,332.70;08/07/2005;08/07/2005
2,330.72;09/07/2005;11/07/2005
2,324.37;12/07/2005;12/07/2005
2,323.08;13/07/2005;13/07/2005
2,326.09;14/07/2005;14/07/2005
2,329.40;15/07/2005;15/07/2005
2,332.07;16/07/2005;18/07/2005
2,320.26;19/07/2005;19/07/2005
2,312.73;20/07/2005;21/07/2005
2,312.82;22/07/2005;22/07/2005
2,316.42;23/07/2005;25/07/2005
2,315.39;26/07/2005;26/07/2005
2,316.93;27/07/2005;27/07/2005
2,313.84;28/07/2005;28/07/2005
2,311.43;29/07/2005;29/07/2005
2,308.49;30/07/2005;01/08/2005
2,308.42;02/08/2005;02/08/2005
2,305.95;03/08/2005;03/08/2005
2,306.51;04/08/2005;04/08/2005
2,307.40;05/08/2005;05/08/2005
2,307.69;06/08/2005;08/08/2005
2,308.30;09/08/2005;09/08/2005
2,305.63;10/08/2005;10/08/2005
2,299.75;11/08/2005;11/08/2005
2,313.52;12/08/2005;12/08/2005
2,308.38;13/08/2005;16/08/2005
2,301.74;17/08/2005;17/08/2005
2,303.20;18/08/2005;18/08/2005
2,307.45;19/08/2005;19/08/2005
2,309.83;20/08/2005;22/08/2005
2,304.26;23/08/2005;23/08/2005
2,302.59;24/08/2005;24/08/2005
2,305.05;25/08/2005;25/08/2005
2,305.87;26/08/2005;26/08/2005
2,306.71;27/08/2005;29/08/2005
2,305.15;30/08/2005;30/08/2005
2,304.30;31/08/2005;31/08/2005
2,302.78;01/09/2005;01/09/2005
2,298.85;02/09/2005;02/09/2005
2,295.31;03/09/2005;06/09/2005
2,286.61;07/09/2005;07/09/2005
2,279.95;08/09/2005;08/09/2005
2,289.30;09/09/2005;09/09/2005
2,305.09;10/09/2005;12/09/2005
2,306.71;13/09/2005;13/09/2005
2,295.02;14/09/2005;14/09/2005
2,290.02;15/09/2005;15/09/2005
2,299.82;16/09/2005;16/09/2005
3,106.16;07/03/2019;07/03/2019
3,120.04;08/03/2019;08/03/2019
3,162.40;09/03/2019;11/03/2019
3,168.35;12/03/2019;12/03/2019
3,153.20;13/03/2019;13/03/2019
3,144.42;15/03/2019;15/03/2019
3,123.28;16/03/2019;18/03/2019
3,145.53;14/03/2019;14/03/2019
3,113.91;12/04/2019;12/04/2019
3,440.96;11/02/2020;11/02/2020
3,947.79;15/05/2020;15/05/2020
3,718.82;30/05/2020;01/06/2020
2,984.00;29/12/2017;02/01/2018
2,940.94;03/01/2018;03/01/2018
2,908.68;04/01/2018;04/01/2018
2,885.76;05/01/2018;05/01/2018
2,898.32;06/01/2018;09/01/2018
2,914.37;10/01/2018;10/01/2018
2,895.69;11/01/2018;11/01/2018
2,865.79;12/01/2018;12/01/2018
2,855.86;13/01/2018;16/01/2018
2,868.03;17/01/2018;17/01/2018
2,851.13;18/01/2018;18/01/2018
2,836.85;19/01/2018;19/01/2018
2,851.75;20/01/2018;22/01/2018
2,854.20;23/01/2018;23/01/2018
2,858.50;24/01/2018;24/01/2018
2,820.53;25/01/2018;25/01/2018
2,783.13;26/01/2018;26/01/2018
2,805.12;27/01/2018;29/01/2018
2,842.67;30/01/2018;30/01/2018
2,844.14;31/01/2018;31/01/2018
2,133.03;14/11/2014;14/11/2014
2,160.47;15/11/2014;18/11/2014
2,158.58;19/11/2014;19/11/2014
2,156.73;20/11/2014;20/11/2014
2,156.93;21/11/2014;21/11/2014
2,142.02;22/11/2014;24/11/2014
2,158.12;25/11/2014;25/11/2014
2,162.15;26/11/2014;26/11/2014
2,165.15;27/11/2014;28/11/2014
2,206.19;29/11/2014;01/12/2014
2,252.36;02/12/2014;02/12/2014
2,293.47;03/12/2014;03/12/2014
2,286.03;04/12/2014;04/12/2014
2,284.24;05/12/2014;05/12/2014
2,304.12;06/12/2014;09/12/2014
2,350.01;10/12/2014;10/12/2014
2,381.96;11/12/2014;11/12/2014
2,423.56;12/12/2014;12/12/2014
2,405.31;13/12/2014;15/12/2014
2,414.39;16/12/2014;16/12/2014
2,446.35;17/12/2014;17/12/2014
2,412.79;18/12/2014;18/12/2014
2,334.98;19/12/2014;19/12/2014
2,297.14;20/12/2014;22/12/2014
2,316.93;23/12/2014;23/12/2014
2,342.57;24/12/2014;24/12/2014
2,346.90;25/12/2014;26/12/2014
2,358.46;27/12/2014;29/12/2014
2,378.56;30/12/2014;30/12/2014
2,392.46;31/12/2014;02/01/2015
2,383.37;03/01/2015;05/01/2015
2,412.82;06/01/2015;06/01/2015
2,452.11;07/01/2015;07/01/2015
2,434.31;08/01/2015;08/01/2015
2,405.03;09/01/2015;09/01/2015
2,406.71;10/01/2015;13/01/2015
2,442.03;14/01/2015;14/01/2015
2,438.79;15/01/2015;15/01/2015
2,398.91;16/01/2015;16/01/2015
2,383.91;17/01/2015;20/01/2015
2,373.44;21/01/2015;21/01/2015
2,361.54;22/01/2015;22/01/2015
2,370.75;23/01/2015;23/01/2015
2,386.50;24/01/2015;26/01/2015
2,386.28;27/01/2015;27/01/2015
2,381.11;28/01/2015;28/01/2015
2,362.42;29/01/2015;29/01/2015
2,397.35;30/01/2015;30/01/2015
2,441.10;31/01/2015;02/02/2015
2,407.29;03/02/2015;03/02/2015
2,374.72;04/02/2015;04/02/2015
2,381.91;05/02/2015;05/02/2015
2,384.53;06/02/2015;06/02/2015
2,384.76;07/02/2015;09/02/2015
2,371.31;10/02/2015;10/02/2015
2,380.79;11/02/2015;11/02/2015
2,416.61;12/02/2015;12/02/2015
2,401.03;13/02/2015;13/02/2015
2,376.23;14/02/2015;17/02/2015
2,416.37;18/02/2015;18/02/2015
2,429.71;19/02/2015;19/02/2015
2,445.16;20/02/2015;20/02/2015
2,455.54;21/02/2015;23/02/2015
2,489.81;24/02/2015;24/02/2015
2,500.59;25/02/2015;25/02/2015
2,489.41;26/02/2015;26/02/2015
2,484.58;27/02/2015;27/02/2015
2,496.99;28/02/2015;02/03/2015
2,522.03;03/03/2015;03/03/2015
2,555.08;04/03/2015;04/03/2015
2,565.90;05/03/2015;05/03/2015
2,543.47;06/03/2015;06/03/2015
2,565.61;07/03/2015;09/03/2015
2,592.86;10/03/2015;10/03/2015
2,618.79;11/03/2015;11/03/2015
2,633.65;12/03/2015;12/03/2015
2,610.08;13/03/2015;13/03/2015
2,661.52;14/03/2015;16/03/2015
2,675.08;17/03/2015;17/03/2015
2,677.97;18/03/2015;18/03/2015
2,651.49;19/03/2015;19/03/2015
2,613.38;20/03/2015;20/03/2015
2,587.71;21/03/2015;24/03/2015
2,526.79;25/03/2015;25/03/2015
2,535.55;26/03/2015;26/03/2015
2,551.30;27/03/2015;27/03/2015
2,556.85;28/03/2015;30/03/2015
2,576.05;31/03/2015;31/03/2015
2,598.36;01/04/2015;01/04/2015
2,576.41;02/04/2015;06/04/2015
2,522.71;07/04/2015;07/04/2015
2,518.05;08/04/2015;08/04/2015
2,490.90;09/04/2015;09/04/2015
2,494.77;10/04/2015;10/04/2015
2,516.08;11/04/2015;13/04/2015
2,537.33;14/04/2015;14/04/2015
2,550.83;15/04/2015;15/04/2015
2,534.63;16/04/2015;16/04/2015
2,493.93;17/04/2015;17/04/2015
2,495.01;18/04/2015;20/04/2015
2,487.07;21/04/2015;21/04/2015
2,469.03;22/04/2015;22/04/2015
2,488.50;23/04/2015;23/04/2015
2,471.21;24/04/2015;24/04/2015
2,461.17;25/04/2015;27/04/2015
2,419.81;28/04/2015;28/04/2015
2,393.42;29/04/2015;29/04/2015
2,388.06;30/04/2015;30/04/2015
2,393.58;01/05/2015;04/05/2015
2,408.17;05/05/2015;05/05/2015
2,386.72;06/05/2015;06/05/2015
2,362.41;07/05/2015;07/05/2015
2,369.23;08/05/2015;08/05/2015
2,360.58;09/05/2015;11/05/2015
2,381.53;12/05/2015;12/05/2015
2,386.77;13/05/2015;13/05/2015
2,377.87;14/05/2015;14/05/2015
2,389.49;15/05/2015;15/05/2015
2,417.01;16/05/2015;19/05/2015
2,475.45;20/05/2015;20/05/2015
2,503.37;21/05/2015;21/05/2015
2,489.39;22/05/2015;22/05/2015
2,500.22;23/05/2015;26/05/2015
2,542.53;27/05/2015;27/05/2015
2,548.13;28/05/2015;28/05/2015
2,549.97;29/05/2015;29/05/2015
2,533.79;30/05/2015;01/06/2015
2,549.29;02/06/2015;02/06/2015
2,554.44;03/06/2015;03/06/2015
2,571.92;04/06/2015;04/06/2015
2,588.56;05/06/2015;05/06/2015
2,623.66;06/06/2015;09/06/2015
2,569.17;10/06/2015;10/06/2015
2,523.00;11/06/2015;11/06/2015
2,538.55;12/06/2015;12/06/2015
2,535.91;13/06/2015;16/06/2015
2,531.72;17/06/2015;17/06/2015
2,550.43;18/06/2015;18/06/2015
2,528.85;19/06/2015;19/06/2015
2,548.20;20/06/2015;22/06/2015
2,537.68;23/06/2015;23/06/2015
2,550.74;24/06/2015;24/06/2015
2,566.66;25/06/2015;25/06/2015
2,556.21;26/06/2015;26/06/2015
2,585.11;27/06/2015;30/06/2015
2,598.68;01/07/2015;01/07/2015
2,626.80;02/07/2015;02/07/2015
2,623.91;03/07/2015;03/07/2015
2,642.97;04/07/2015;06/07/2015
2,665.41;07/07/2015;07/07/2015
2,690.15;08/07/2015;08/07/2015
2,690.79;09/07/2015;09/07/2015
2,670.79;10/07/2015;10/07/2015
2,667.37;11/07/2015;13/07/2015
2,693.54;14/07/2015;14/07/2015
2,688.20;15/07/2015;15/07/2015
2,713.04;16/07/2015;16/07/2015
2,727.23;17/07/2015;17/07/2015
2,751.88;18/07/2015;21/07/2015
2,765.10;22/07/2015;22/07/2015
2,790.26;23/07/2015;23/07/2015
2,807.36;24/07/2015;24/07/2015
2,857.46;25/07/2015;27/07/2015
2,854.13;28/07/2015;28/07/2015
2,855.44;29/07/2015;29/07/2015
809.95;13/11/1993;16/11/1993
815.18;17/11/1993;17/11/1993
816.32;18/11/1993;18/11/1993
816.62;19/11/1993;19/11/1993
817.06;20/11/1993;22/11/1993
814.48;23/11/1993;23/11/1993
812.12;24/11/1993;24/11/1993
811.67;25/11/1993;25/11/1993
812.04;26/11/1993;26/11/1993
812.11;27/11/1993;29/11/1993
811.73;30/11/1993;30/11/1993
812.21;01/12/1993;01/12/1993
813.95;10/11/1993;10/11/1993
811.78;02/12/1993;02/12/1993
809.63;03/12/1993;03/12/1993
806.49;04/12/1993;06/12/1993
803.10;07/12/1993;07/12/1993
800.60;08/12/1993;09/12/1993
798.51;10/12/1993;10/12/1993
797.53;11/12/1993;13/12/1993
798.20;14/12/1993;14/12/1993
818.21;07/09/1994;07/09/1994
819.24;08/09/1994;08/09/1994
820.02;09/09/1994;09/09/1994
820.26;10/09/1994;12/09/1994
821.62;13/09/1994;13/09/1994
824.34;14/09/1994;14/09/1994
827.86;15/09/1994;15/09/1994
833.10;16/09/1994;16/09/1994
837.21;17/09/1994;19/09/1994
838.63;20/09/1994;20/09/1994
841.82;21/09/1994;21/09/1994
842.70;22/09/1994;22/09/1994
841.53;23/09/1994;23/09/1994
839.46;24/09/1994;26/09/1994
840.23;27/09/1994;27/09/1994
817.80;06/09/1994;06/09/1994
841.51;28/09/1994;28/09/1994
841.32;29/09/1994;29/09/1994
842.00;30/09/1994;30/09/1994
843.00;01/10/1994;03/10/1994
843.65;04/10/1994;04/10/1994
844.40;05/10/1994;05/10/1994
842.54;06/10/1994;06/10/1994
840.06;07/10/1994;07/10/1994
836.80;08/10/1994;10/10/1994
798.12;15/12/1993;15/12/1993
799.43;16/12/1993;16/12/1993
804.89;17/12/1993;17/12/1993
806.50;18/12/1993;20/12/1993
803.81;21/12/1993;21/12/1993
802.46;22/12/1993;22/12/1993
801.40;23/12/1993;23/12/1993
801.69;24/12/1993;24/12/1993
801.69;25/12/1993;27/12/1993
809.13;28/12/1993;28/12/1993
802.33;29/12/1993;29/12/1993
802.71;30/12/1993;30/12/1993
804.33;31/12/1993;31/12/1993
804.33;01/01/1994;03/01/1994
