Fecha;Empresa;Moneda;Ingreso
09/11/2017;Empresa A;EURO;-0.0421903731016668
09/12/2017;Empresa A;EURO;9.0827251366562e-05
10/01/2017;Empresa A;EURO;0.000861040724114854
10/02/2017;Empresa A;EURO;0.0817476840618472
10/03/2017;Empresa A;EURO;0.00977040803128803
10/04/2017;Empresa A;EURO;0.0502913914147818
10/05/2017;Empresa A;EURO;0.00422677944452868
10/06/2017;Empresa A;EURO;0.000128937008190142
10/07/2017;Empresa A;EURO;0.0430351409467903
10/08/2017;Empresa A;EURO;-0.0188088338878635
10/09/2017;Empresa A;EURO;0.000363377280279592
10/10/2017;Empresa A;EURO;-0.00921059331333407
10/11/2017;Empresa A;EURO;-0.0594645024176716
10/12/2017;Empresa A;EURO;9.08560991460222e-05
11/01/2017;Empresa A;EURO;0.0488220104497146
11/02/2017;Empresa A;EURO;0.000264418106106827
11/03/2017;Empresa A;EURO;0.000203634735765024
11/04/2017;Empresa A;EURO;-0.0012275512952484
11/05/2017;Empresa A;EURO;-0.00635598607509235
11/06/2017;Empresa A;EURO;0.000128959377583765
11/07/2017;Empresa A;EURO;-0.00601307644897365
11/08/2017;Empresa A;EURO;-0.0770267053452108
11/09/2017;Empresa A;EURO;0.080475112359361
11/10/2017;Empresa A;EURO;-0.00290092206960844
11/11/2017;Empresa A;EURO;0.000179304957195652
11/12/2017;Empresa A;EURO;0.0171805063794032
12/01/2017;Empresa A;EURO;-0.108105005866582
12/02/2017;Empresa A;EURO;0.000264512188401975
12/03/2017;Empresa A;EURO;0.000203681878891527
12/04/2017;Empresa A;EURO;0.0282695358249728
12/05/2017;Empresa A;EURO;-0.00156977215468431
12/06/2017;Empresa A;EURO;-0.0456827151704469
12/07/2017;Empresa A;EURO;-0.00299466804574028
12/08/2017;Empresa A;EURO;9.53676167600654e-05
12/09/2017;Empresa A;EURO;0.0462315271908799
12/10/2017;Empresa A;EURO;0.000528442388502428
12/11/2017;Empresa A;EURO;0.000179799208095566
12/12/2017;Empresa A;EURO;0.0192430873794989
13/01/2017;Empresa A;EURO;0.0602418537105354
13/02/2017;Empresa A;EURO;0.0418071949733543
13/03/2017;Empresa A;EURO;-0.0300443257657112
13/04/2017;Empresa A;EURO;0.000123290899506828
13/05/2017;Empresa A;EURO;0.000126907872283963
13/06/2017;Empresa A;EURO;0.00405601198652304
13/07/2017;Empresa A;EURO;0.0705045713848235
13/08/2017;Empresa A;EURO;9.5382066390426e-05
13/09/2017;Empresa A;EURO;-0.028849485776172
13/10/2017;Empresa A;EURO;0.0247515588864169
13/11/2017;Empresa A;EURO;0.000179842969927758
13/12/2017;Empresa A;EURO;0.0110264407021146
14/01/2017;Empresa A;EURO;0.00032030297019802
14/02/2017;Empresa A;EURO;1.57948808585178e-05
14/03/2017;Empresa A;EURO;0.0266558789173694
14/04/2017;Empresa A;EURO;0.000123314473308997
14/05/2017;Empresa A;EURO;0.000126930858692088
14/06/2017;Empresa A;EURO;0.0465764258313512
14/07/2017;Empresa A;EURO;-0.00114058726002993
14/08/2017;Empresa A;EURO;0.0489949317125539
14/09/2017;Empresa A;EURO;0.0337213550959112
14/10/2017;Empresa A;EURO;0.000142320916548721
14/11/2017;Empresa A;EURO;-0.0506722474203743
14/12/2017;Empresa A;EURO;-0.0281534807875971
15/01/2017;Empresa A;EURO;0.00032037332010235
15/02/2017;Empresa A;EURO;0.0495417360590594
15/03/2017;Empresa A;EURO;0.0254717633817093
15/04/2017;Empresa A;EURO;0.000114851484205978
15/05/2017;Empresa A;EURO;-0.0279274547352713
15/06/2017;Empresa A;EURO;-0.0582285061609328
15/07/2017;Empresa A;EURO;0.000125952695285581
15/08/2017;Empresa A;EURO;0.00772601940519212
15/09/2017;Empresa A;EURO;-0.0248679076661196
15/10/2017;Empresa A;EURO;0.000141226928387285
15/11/2017;Empresa A;EURO;-0.0874345660962033
15/12/2017;Empresa A;EURO;-0.0266037417786424
16/01/2017;Empresa A;EURO;0.031459694708835
16/02/2017;Empresa A;EURO;-0.0356033939015376
16/03/2017;Empresa A;EURO;0.00288202981017155
16/04/2017;Empresa A;EURO;0.000114851484205978
16/05/2017;Empresa A;EURO;-0.0305572150038096
16/06/2017;Empresa A;EURO;0.0341622719490301
16/07/2017;Empresa A;EURO;0.000125974596264269
16/08/2017;Empresa A;EURO;0.0691864892095836
16/09/2017;Empresa A;EURO;0.000135676670866658
16/10/2017;Empresa A;EURO;0.000141235395759037
16/11/2017;Empresa A;EURO;0.0720355403198821
16/12/2017;Empresa A;EURO;4.04336774136724e-05
17/01/2017;Empresa A;EURO;-0.0924576065837577
17/02/2017;Empresa A;EURO;-0.0384096350065674
17/03/2017;Empresa A;EURO;0.00841436569084155
17/04/2017;Empresa A;EURO;-0.0249031815095154
17/05/2017;Empresa A;EURO;-0.0314420234093812
17/06/2017;Empresa A;EURO;0.000128637949394554
17/07/2017;Empresa A;EURO;0.00711337857934506
17/08/2017;Empresa A;EURO;-0.0169263036593226
17/09/2017;Empresa A;EURO;0.000135727661412639
17/10/2017;Empresa A;EURO;0.00995047577636401
17/11/2017;Empresa A;EURO;0.00478098060887323
17/12/2017;Empresa A;EURO;4.04624762896286e-05
18/01/2017;Empresa A;EURO;0.0210361306012844
18/02/2017;Empresa A;EURO;0.000265938972520911
18/03/2017;Empresa A;EURO;0.000213444163222273
18/04/2017;Empresa A;EURO;-0.0329251422188318
18/05/2017;Empresa A;EURO;-0.0687530552635756
18/06/2017;Empresa A;EURO;0.000128637949394554
18/07/2017;Empresa A;EURO;-0.0494542999742484
18/08/2017;Empresa A;EURO;-0.0763955149057222
18/09/2017;Empresa A;EURO;0.0204136153553772
18/10/2017;Empresa A;EURO;0.00997603180047129
18/11/2017;Empresa A;EURO;0.000145622721731585
18/12/2017;Empresa A;EURO;0.0647213685897638
19/01/2017;Empresa A;EURO;0.00754790285127988
19/02/2017;Empresa A;EURO;0.000265892024130997
19/03/2017;Empresa A;EURO;0.000213351027338178
19/04/2017;Empresa A;EURO;-0.00898769178832367
19/05/2017;Empresa A;EURO;0.0234390608327458
19/06/2017;Empresa A;EURO;0.000128660336785678
19/07/2017;Empresa A;EURO;0.00549730683129403
19/08/2017;Empresa A;EURO;8.72444623945988e-05
19/09/2017;Empresa A;EURO;-0.0119010249362324
19/10/2017;Empresa A;EURO;-0.0618087099077521
19/11/2017;Empresa A;EURO;0.000143876218917254
19/12/2017;Empresa A;EURO;0.0113395555772221
20/01/2017;Empresa A;EURO;0.0218826937442712
20/02/2017;Empresa A;EURO;0.0717010064173999
20/03/2017;Empresa A;EURO;0.000213420879267239
20/04/2017;Empresa A;EURO;0.0021635460117205
20/05/2017;Empresa A;EURO;0.000138183198703502
20/06/2017;Empresa A;EURO;0.0661911122193723
20/07/2017;Empresa A;EURO;0.000123233330443076
20/08/2017;Empresa A;EURO;8.72444623945988e-05
20/09/2017;Empresa A;EURO;-0.00131814610137973
20/10/2017;Empresa A;EURO;0.00805328355138064
20/11/2017;Empresa A;EURO;0.0031062277164504
20/12/2017;Empresa A;EURO;-0.0270567173859914
21/01/2017;Empresa A;EURO;0.000324586157604198
21/02/2017;Empresa A;EURO;0.0766684246297858
21/03/2017;Empresa A;EURO;-0.0127436542081853
21/04/2017;Empresa A;EURO;0.013100943941225
21/05/2017;Empresa A;EURO;0.00013822792545358
21/06/2017;Empresa A;EURO;-0.0450369753310978
21/07/2017;Empresa A;EURO;-0.0390212545400868
21/08/2017;Empresa A;EURO;8.72589427663126e-05
21/09/2017;Empresa A;EURO;0.0151302159817111
21/10/2017;Empresa A;EURO;0.000141834489270964
21/11/2017;Empresa A;EURO;0.0198526847145295
21/12/2017;Empresa A;EURO;-0.0310673286433399
22/01/2017;Empresa A;EURO;0.000324656699252759
22/02/2017;Empresa A;EURO;0.0670336382715859
22/03/2017;Empresa A;EURO;-0.0885940519984934
22/04/2017;Empresa A;EURO;0.000122709853172152
22/05/2017;Empresa A;EURO;-0.00620214111604113
22/06/2017;Empresa A;EURO;-0.00637932970871951
22/07/2017;Empresa A;EURO;2.30845217980551e-05
22/08/2017;Empresa A;EURO;0.0216790539542352
22/09/2017;Empresa A;EURO;0.00224029131821587
